num,reg,pos,loc,instraction,res,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
56,0x104d28,25, 1056608,"  101f60:	e0011003 	and	r1, r1, r3
",benign, 285, 199, 2818, 2, 1730, 1081, 1, 511, 711, 0, 230, 23810, 507, 3, 93, 2742, 1238, 413, 3, 13901, 6322, 7981, 0, 0, 33, 1777, 2005, 2840, 91, 0, 0, 17, 38, 115, 2, 24372, 16319, 19616, 1, 0, 0, 316
57,0x11f220,23, 1061871,"  1033ec:	ea000002 	b	1033fc <sha_print+0x168>
",benign, 288, 198, 2897, 2, 1787, 1084, 1, 528, 742, 0, 260, 24232, 539, 3, 92, 2822, 1358, 415, 3, 14183, 6574, 8258, 0, 0, 34, 1884, 2062, 2930, 95, 0, 0, 17, 22, 128, 2, 24839, 16478, 19827, 1, 0, 0, 316
58,0x100cb8,1, 1060393,"  102e28:	e51b3018 	ldr	r3, [fp, #-24]	; 0xffffffe8
",benign, 290, 198, 2875, 1, 1773, 1087, 1, 522, 734, 0, 241, 24218, 531, 3, 93, 2910, 1124, 395, 3, 14469, 6647, 8238, 0, 0, 34, 1840, 2055, 2904, 91, 0, 0, 17, 22, 128, 2, 24668, 16610, 19905, 1, 0, 0, 316
59,0x136f0c,21, 1054328,"  101678:	e51b300c 	ldr	r3, [fp, #-12]
",benign, 281, 197, 2864, 2, 1764, 1082, 1, 522, 727, 0, 252, 24392, 523, 3, 95, 2673, 1407, 474, 3, 14127, 6446, 8189, 0, 0, 33, 1850, 2031, 2903, 93, 0, 0, 17, 22, 112, 2, 24753, 16255, 19666, 1, 0, 0, 375
60,0x118614,17, 1051428,"  100b24:	e51b3018 	ldr	r3, [fp, #-24]	; 0xffffffe8
",benign, 288, 199, 2899, 2, 1780, 1088, 1, 522, 728, 0, 241, 23984, 524, 3, 94, 2701, 1469, 415, 3, 14020, 6416, 8257, 0, 0, 33, 1874, 2047, 2929, 91, 0, 0, 17, 33, 129, 2, 24755, 16471, 19745, 1, 0, 0, 316
61,0x12a778,26, 1062218,"  103548:	e50b300c 	str	r3, [fp, #-12]
",benign, 283, 198, 2872, 2, 1779, 1087, 1, 519, 725, 0, 243, 24202, 521, 3, 94, 3214, 1194, 411, 3, 14200, 6552, 8185, 0, 0, 33, 1851, 2033, 2907, 91, 0, 0, 18, 21, 114, 2, 24542, 16508, 19750, 1, 0, 0, 375
62,0x123c38,18, 1055027,"  101930:	e30e3ba1 	movw	r3, #60321	; 0xeba1
",benign, 285, 197, 2892, 2, 1792, 1083, 1, 531, 747, 0, 251, 24301, 544, 3, 92, 3036, 1135, 398, 3, 14189, 6619, 8324, 0, 0, 34, 1903, 2061, 2930, 91, 0, 0, 17, 21, 132, 2, 24983, 16567, 20044, 1, 0, 0, 316
63,0x105400,2, 1053813,"  101474:	e0233001 	eor	r3, r3, r1
",benign, 290, 197, 2880, 1, 1776, 1082, 1, 528, 742, 0, 253, 24524, 539, 3, 93, 3039, 1200, 415, 3, 14178, 6534, 8262, 0, 0, 34, 1886, 2054, 2925, 92, 0, 0, 18, 34, 134, 2, 25155, 16447, 19733, 1, 0, 0, 316
64,0x1001a8,4, 1053574,"  101384:	e51b3014 	ldr	r3, [fp, #-20]	; 0xffffffec
",benign, 287, 198, 2868, 2, 1765, 1083, 1, 521, 728, 0, 242, 23853, 524, 3, 95, 3015, 1271, 455, 3, 14244, 6231, 8196, 0, 0, 33, 1862, 2034, 2912, 93, 0, 0, 18, 34, 134, 2, 24791, 16181, 19515, 1, 0, 0, 316
65,0x116040,5, 1055453,"  101adc:	e0822003 	add	r2, r2, r3
",benign, 286, 198, 2957, 2, 1832, 1100, 1, 528, 735, 0, 245, 24373, 531, 3, 90, 3216, 1208, 412, 3, 13972, 6282, 8375, 0, 0, 33, 1925, 2077, 2994, 93, 0, 0, 18, 34, 131, 2, 24922, 16671, 19947, 1, 0, 0, 316
66,0x13b30c,28, 1052668,"  100ffc:	e0823003 	add	r3, r2, r3
",benign, 284, 197, 2871, 2, 1765, 1082, 1, 522, 727, 0, 241, 24245, 523, 3, 95, 2911, 1407, 411, 3, 14243, 6590, 8192, 0, 0, 33, 1853, 2022, 2892, 91, 0, 0, 17, 22, 114, 2, 24621, 16394, 19689, 1, 0, 0, 316
67,0x124a8c,31, 1059558,"  102ae4:	e30c31d6 	movw	r3, #49622	; 0xc1d6
",benign, 281, 198, 2957, 1, 1832, 1101, 1, 528, 735, 0, 248, 24312, 531, 3, 90, 2834, 1404, 415, 3, 14163, 6395, 8380, 0, 0, 33, 1911, 2086, 2984, 91, 0, 0, 17, 34, 129, 2, 24926, 16847, 20124, 1, 0, 0, 316
68,0x117bdc,28, 1053696,"  101400:	e0211003 	eor	r1, r1, r3
",benign, 290, 198, 2873, 2, 1770, 1083, 1, 522, 734, 0, 248, 24124, 531, 3, 92, 2814, 1424, 413, 3, 14174, 6510, 8184, 0, 0, 34, 1839, 2053, 2897, 91, 0, 0, 17, 35, 132, 2, 24981, 16630, 19905, 1, 0, 0, 316
69,0x105a60,5, 1057136,"  102170:	e51b3098 	ldr	r3, [fp, #-152]	; 0xffffff68
",benign, 291, 197, 2866, 1, 1767, 1085, 1, 521, 727, 0, 257, 24287, 524, 3, 92, 2850, 1030, 395, 3, 14507, 6957, 8137, 0, 0, 34, 1842, 2007, 2887, 91, 0, 0, 17, 21, 132, 2, 24710, 16647, 20151, 1, 0, 0, 316
