num,reg,pos,loc,reg,pos,loc,reg,pos,loc,input_seed,instraction,res,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,dump
15,r0,12, 1085044,r0,22, 1085044,r2,23, 1085044, 1040,"  108e74:	e5932000 	ldr	r2, [r3]",benign, 308, 154, 5242, 2, 3483, 1266, 1, 924, 1067, 0, 279, 44780, 999, 3, 32, 3195, 438, 418, 3, 31348, 6093, 12191, 0, 0, 172, 3047, 2920, 4889, 55, 0, 0, 19, 24, 120, 2, 44784, 36981, 40431, 1, 0, 0, 318,-
16,r3,26, 1085013,r0,5, 1085013,r0,24, 1085013, 1047,"  108e54:	e28db000 	add	fp, sp, #0",SDC, 408, 157, 4802, 4, 3168, 1140, 1, 854, 999, 0, 268, 44258, 906, 3, 35, 2893, 603, 617, 3, 31923, 6476, 11444, 0, 0, 147, 2772, 2693, 4456, 53, 0, 0, 19, 27, 294, 8, 44621, 36270, 39541, 3, 0, 0, 321,-
17,r0,30, 1085017,r3,10, 1085017,r1,7, 1085017, 1043,"  108e58:	e24dd014 	sub	sp, sp, #20",SDC, 407, 160, 4731, 3, 3125, 1115, 1, 876, 1024, 0, 290, 45019, 938, 3, 34, 3090, 498, 506, 3, 31968, 6614, 11674, 0, 0, 153, 2905, 2828, 4528, 57, 0, 0, 19, 29, 205, 4, 45007, 36600, 39892, 2, 0, 0, 328,-
18,r2,30, 1085046,r3,4, 1085046,r0,15, 1085046, 1045,"  108e74:	e5932000 	ldr	r2, [r3]",SDC, 438, 175, 5167, 4, 3421, 1210, 1, 970, 1101, 0, 269, 45021, 1036, 3, 36, 3142, 451, 590, 3, 32233, 6651, 12205, 0, 0, 175, 3085, 2922, 4754, 58, 0, 0, 19, 27, 294, 8, 45645, 36739, 40026, 3, 0, 0, 339,-
19,r3,5, 1085054,r1,22, 1085054,r2,22, 1085054, 1048,"  108e7c:	e5832000 	str	r2, [r3]",benign, 411, 161, 5115, 3, 3383, 1221, 1, 923, 1063, 0, 265, 44816, 992, 3, 32, 2918, 384, 430, 3, 32038, 6826, 12069, 0, 0, 168, 2989, 2859, 4741, 57, 0, 0, 19, 27, 143, 2, 45147, 37212, 40474, 1, 0, 0, 339,-
20,r0,23, 1085054,r2,24, 1085054,r1,1, 1085054, 1046,"  108e7c:	e5832000 	str	r2, [r3]",benign, 396, 148, 4939, 2, 3249, 1177, 1, 887, 1033, 0, 276, 44360, 950, 3, 32, 3134, 574, 426, 3, 31718, 6513, 11608, 0, 0, 157, 2875, 2765, 4560, 56, 0, 0, 19, 25, 121, 2, 45146, 36339, 39630, 1, 0, 0, 362,-
21,r2,11, 1085043,r0,26, 1085043,r2,2, 1085043, 1044,"  108e70:	e51b3014 	ldr	r3, [fp, #-20]	; 0xffffffec",benign, 426, 168, 4989, 2, 3290, 1198, 1, 882, 1033, 0, 271, 44689, 950, 3, 32, 3094, 420, 417, 3, 32041, 6959, 11882, 0, 0, 156, 2944, 2841, 4652, 57, 0, 0, 19, 23, 120, 2, 44944, 36462, 39723, 1, 0, 0, 328,-
22,r3,24, 1085027,r1,14, 1085027,r2,14, 1085027, 1050,"  108e60:	e50b1014 	str	r1, [fp, #-20]	; 0xffffffec",SDC, 409, 152, 4699, 3, 3093, 1101, 1, 849, 997, 0, 250, 44798, 899, 3, 34, 3365, 432, 489, 3, 33040, 6606, 11194, 0, 0, 142, 2728, 2686, 4317, 53, 0, 0, 19, 26, 205, 5, 45220, 37052, 40309, 2, 0, 0, 339,-
23,r0,23, 1085016,r3,21, 1085016,r0,17, 1085016, 1047,"  108e58:	e24dd014 	sub	sp, sp, #20",benign, 310, 155, 4642, 2, 3064, 1095, 0, 823, 968, 2, 261, 43184, 866, 3, 33, 3069, 429, 426, 3, 31317, 6050, 11019, 0, 0, 138, 2659, 2605, 4286, 54, 0, 0, 19, 24, 120, 2, 43435, 35996, 39278, 1, 0, 0, 317,-
0,r1,4, 1085060,r1,18, 1085060,r0,18, 1085060, 1032,"  108e84:	e51b2008 	ldr	r2, [fp, #-8]",benign, 226, 24, 4730, 2, 3113, 1107, 1, 861, 1008, 0, 258, 43134, 913, 3, 32, 3228, 597, 404, 3, 31102, 6128, 11139, 0, 0, 145, 2766, 2699, 4344, 54, 0, 0, 19, 27, 121, 2, 43639, 35317, 38584, 1, 0, 0, 327,-
